Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,216.21,-100.29,180.0,bottom
C10,4.7u,C_0402_1005Metric,197.75,-103.25,90.0,bottom
C11,100n,C_0402_1005Metric,203.5,-112.23,270.0,bottom
C12,100n,C_0402_1005Metric,204.58,-112.23,270.0,bottom
C13,100n,C_0402_1005Metric,195.5,-112.25,180.0,bottom
C14,100n,C_0402_1005Metric,214.13,-109.87,225.0,bottom
C15,100n,C_0402_1005Metric,202.27,-100.64,90.0,bottom
C16,100n,C_0402_1005Metric,201.5,-112.25,270.0,bottom
C17,100n,C_0402_1005Metric,216.17,-113.13,180.0,bottom
C18,100n,C_0402_1005Metric,198.75,-101.27,90.0,bottom
C19,10u,C_0805_2012Metric,193.5,-101.5,270.0,bottom
C2,100n,C_0402_1005Metric,205.1,-101.76,0.0,bottom
C3,15p,C_0402_1005Metric,195.32,-109.67,180.0,bottom
C4,15p,C_0402_1005Metric,197.43,-107.6,270.0,bottom
C5,10u,C_0805_2012Metric,205.8,-100.14,0.0,bottom
C6,4.7u,C_0402_1005Metric_small_pads,207.54,-104.76,90.0,bottom
C7,4.7u,C_0402_1005Metric_small_pads,208.49,-104.76,90.0,bottom
C8,100n,C_0402_1005Metric,203.5,-101.05,90.0,bottom
C9,4.7u,C_0402_1005Metric,207.82,-102.88,135.0,bottom
L1,3.3u,L_pol_2016,210.05,-104.799947,90.0,bottom
LED1,~,LED-SMD_4P-L3.2-W2.8_XZMDKCBDDG45S-9,191.5,-106.99,270.0,bottom
R1,220,R_0402_1005Metric,191.5,-111.0,180.0,bottom
R10,1k,R_0402_1005Metric,193.5,-110.75,180.0,bottom
R16,10k,R_0402_1005Metric,214.08,-103.01,135.0,bottom
R2,1k,R_0402_1005Metric,197.43,-105.75,270.0,bottom
R3,1k,R_0402_1005Metric,195.266481,-104.158983,180.0,bottom
R4,1k,R_0402_1005Metric,200.35,-100.16,180.0,bottom
R5,33,R_0402_1005Metric,209.075,-99.95,180.0,bottom
R6,1k,R_0402_1005Metric,205.925,-113.75,0.0,bottom
R7,27,R_0402_1005Metric,210.0,-107.75,0.0,bottom
R8,27,R_0402_1005Metric,210.0,-106.75,0.0,bottom
R9,5.1k,R_0402_1005Metric,214.47,-107.78,90.0,bottom
U1,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,202.69,-106.8,90.0,bottom
U2,TPS7A2033PDBVR,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,212.5,-101.5,135.0,bottom
U3,~,USON-8_L3.0-W2.0-P0.50-BL-EP,209.75,-111.0,0.0,bottom
USB1,~,USB-C-SMD_U261-121N-4BS2S,216.349999,-107.0,270.0,bottom
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,195.25,-107.0,90.0,bottom
